cDegrees   Distance(cm)
0         59
2         30
4         30
6         52
8         52
10         51
12         37
14         15
16         40
18         61
20         59
22         61
24         62
26         72
28         74
30         76
32         77
34         61
36         24
38         24
40         23
42         24
44         23
46         24
48         21
50         15
52         15
54         16
56         15
58         22
60         15
62         21
64         21
66         21
68         21
70         21
72         21
74         21
76         21
78         21
80         21
82         21
84         20
86         21
88         22
90         21
92         21
94         23
96         23
98         24
100         24
102         24
104         24
106         25
108         118
110         82
112         93
114         102
116         84
118         80
120         94
122         63
124         59
126         58
128         58
130         59
132         57
134         59
136         61
138         57
140         58
142         56
144         54
146         57
148         80
150         60
152         63
154         92
156         106
158         59
160         102
162         93
164         115
166         105
168         77
170         94
172         85
174         113
176         84
178         82
180         129
