Degrees   Distance(cm)
0         47
2         46
4         47
6         31
8         28
10        28
12        46
14        30
16        46
18        46
20        46
22        46
24        46
26        46
28        45
30        46
32        46
34        47
36        46
38        46
40        46
42        48
44        45
46        46
48        55
50        55
52        48
54        142
56        50
58        53
60        50
62        48
64        49
66        48
68        48
70        48
72        48
74        48
76        48
78        48
80        47
82        49
84        49
86        48
88        49
90        49
92        48
94        48
96        48
98        48
100       48
102       49
104       49
106       50
108       49
110       49
112       49
114       50
116       51
118       51
120       51
122       155
124       153
126       251
128       256
130       42
132       41
134       41
136       41
138       41
140       40
142       40
144       40
146       40
148       40
150       40
152       40
154       40
156       40
158       39
160       40
162       40
164       40
166       41
168       41
170       38
172       41
174       41
176       40
178       41
180       40
