Degrees   Distance(m)
0         3.16
2         2.38
4         2.01
6         2.17
8         1.65
10        1.57
12        2.46
14        2.32
16        2.77
18        3.03
20        3.16
22        1.95
24        2.10
26        1.45
28        1.42
30        2.40
32        1.42
34        1.46
36        1.42
38        1.42
40        1.26
42        1.46
44        1.42
46        1.42
48        1.42
50        1.97
52        2.07
54        1.84
56        1.44
58        1.42
60        1.42
62        1.42
64        1.71
66        1.42
68        1.00
70        0.99
72        1.00
74        1.18
76        1.00
78        1.41
80        1.01
82        0.99
84        1.00
86        1.00
88        0.85
90        0.99
92        0.99
94        0.67
96        0.82
98        0.74
100       0.72
102       0.71
104       0.73
106       0.65
108       0.70
110       0.85
112       0.80
114       3.16
116       0.92
118       0.42
120       0.75
122       0.36
124       0.97
126       0.29
128       1.00
130       0.42
132       0.94
134       0.90
136       0.94
138       0.93
140       0.98
142       0.98
144       0.97
146       0.97
148       0.98
150       0.99
152       0.98
154       0.95
156       0.96
158       0.97
160       0.98
162       0.98
164       0.95
166       1.10
168       1.46
170       1.42
172       1.25
174       0.89
176       0.97
178       0.89
180       1.42
